rank,Company Name
912,ThyssenKrupp Ind...
913,Visionet Systems
914,Mahindra First C...
915,Provana
916,CenturyPly
917,iMerit
918,Teva Pharmaceuti...
919,C.R.I. Pumps
920,Egis  India Cons...
921,Chetu
922,GEP Worldwide
923,Exela Technologi...
924,LOREAL
925,Bajaj Housing Fi...
926,Colliers Interna...
927,Genius Consultan...
928,Vedanta Resource...
929,Syngenta
930,CSB Bank
931,MakeMyTrip
932,Diageo
933,Karvy Computersh...
934,Karvy Stock Brok...
935,INDO-MIM
936,Future Supply Ch...
937,Better.com
938,Hitachi Astemo
939,MAHLE ANAND Filt...
940,Secure Meters
941,Yashoda Hospital...
942,Marks & Spencer
943,Huhtamaki
944,Reliance AJIO
945,Nexa
946,Nippon Paint Ind...
947,Indusind Marketi...
948,Sykes Business S...
949,Jakson Group
950,Intel
951,Ahluwalia Contra...
952,Imperial Auto In...
953,Panasonic Life S...
954,Evision Technose...
955,Kinara Capital
956,Dassault Systeme...
957,Neel Metal Produ...
958,TNQ Technologies
959,Jacobs Engineeri...
960,Panacea Biotec
961,THE LEELA PALACE...
962,GAMMON INDIA
963,Nykaa
964,TEKsystems
965,Karur Vysya Bank
966,Pramerica Life I...
967,Meril
968,Fluor Daniel Ind...
969,ZF Steering Gear
970,Pernod Ricard
971,Future Focus Inf...
972,Bank of India
973,V5 Global Servic...
974,KIMS Hospital
975,JTEKT
976,Metropolis Healt...
977,Sandvik Asia
978,Reliance Capital
979,Aviva Life Insur...
980,Centum Electroni...
981,SNC-Lavalin
982,Greaves Cotton
983,Medplus(optival ...
984,KEI Industries
985,Brillio
986,Troikaa Pharmace...
987,Mswipe Technolog...
988,Incedo
989,Incedo
990,Visionary RCM In...
991,Vedanta Aluminiu...
992,Micromax Informa...
993,Acme Cleantech S...
994,CRB Tech Solutio...
995,HFCL
996,Amazon Logistics
997,Shriram General ...
998,HT Media
999,Uber
1000,Samsung Engineer...
1001,Birla Corporatio...
1002,Napino Auto & El...
1003,Duck Creek Techn...
1004,Fareportal
1005,Precision Techse...
1006,Air India
1007,Happiest Minds T...
1008,GVPR Engineers
1009,Allianz Technolo...
1010,CALIBEHR
1011,Parekh Integrate...
1012,Vertiv
1013,B. G. Shirke Con...
1014,Air India Sats A...
1015,Wheels
1016,Fusion Microfina...
1017,Bechtel
1018,Tata Steel BSL
1019,Hikal
1020,Samasta Microfin...
1021,Galfar
1022,United Breweries
1023,Everest Industri...
1024,Medha Servo Driv...
1025,Qualcomm
1026,Godfrey Phillips...
1027,Natco Pharma
1028,Godrej Agrovet
1029,Patra Corporatio...
1030,Telenor
1031,Softenger
1032,Mu Sigma
1033,Aristo Pharmaceu...
1034,Samsung Electron...
1035,Atlas Copco
1036,GlaxoSmithKline ...
1037,Medlife
1038,PayPal
1039,ICICI Prudential...
1040,Sri Chaitanya Sc...
1041,DuPont
1042,HPCL-Mittal Ener...
1043,Star Cement
1044,VeeTechnologies
1045,Willis Towers Wa...
1046,National Health ...
1047,Suzuki Motorcycl...
1048,Gharda Chemicals
1049,Indira IVF Hospi...
1050,Knorr-Bremse
1051,DLF
1052,Varroc Polymers
1053,Rashmi Metaliks
1054,Amara Raja Group
1055,Greenko Group
1056,DAV Public Schoo...
1057,Renew Solar Powe...
1058,Aarvi Encon
1059,General Mills
1060,Federal Bank
1061,Navayuga Enginee...
1062,Carnival Cruise ...
1063,Page Industries
1064,Bridge & Roof Co
1065,Orchids Internat...
1066,Timken
1067,Medusind Solutio...
1068,FOCUS EDUMATICS
1069,Prodapt
1070,Hindustan Sanita...
1071,Kohler
1072,Artech Infosyste...
1073,Allscripts
1074,ICA Edu Skills
1075,Genpact Headstro...
1076,Capital Numbers ...
1077,Lakshmi Machine ...
1078,Musashi Auto Par...
1079,Otis Elevator
1080,Sanden Vikas
1081,Kotak Mahindra P...
1082,Leadec India
1083,Test Yantra Soft...
1084,GirnarSoft
1085,Amazon Services
1086,Michelin
1087,Ageas Federal Li...
1088,OCS Group
1089,Rupeek
1090,Aspire Systems
1091,Grant Thornton
1092,Aparna Construct...
1093,Ugam Solution
1094,Defence Research...
1095,SFO Technologies
1096,Steag Energy Ser...
1097,Indiabulls Ventu...
1098,IDFC FIRST Bhara...
1099,More Supermarket...
1100,Kurlon
1101,Webhelp
1102,NetAmbit
1103,L&T Power
1104,ICCS
1105,OLX
1106,Skill Lync
1107,J B Chemicals An...
